Bus,sub_id,interconnect,balancing_area,x,y,state,country,county
2010077,35048.0,Western,BPAT,-122.691,45.7379,Washington,US,p53011
2010078,35049.0,Western,PSEI,-122.658,47.7074,Washington,US,p53035
2010079,35049.0,Western,PSEI,-122.658,47.7074,Washington,US,p53035
2010080,35049.0,Western,PSEI,-122.658,47.7074,Washington,US,p53035
2010081,35049.0,Western,PSEI,-122.658,47.7074,Washington,US,p53035
2010082,35050.0,Western,PSEI,-122.715,47.7601,Washington,US,p53035
2010083,35050.0,Western,PSEI,-122.715,47.7601,Washington,US,p53035
2010084,35051.0,Western,PSEI,-122.772,48.9,Washington,US,p53073
2010085,35051.0,Western,PSEI,-122.772,48.9,Washington,US,p53073
2010086,35051.0,Western,PSEI,-122.772,48.9,Washington,US,p53073
2010087,35052.0,Western,PSEI,-122.682,47.9481,Washington,US,p53029
2010088,35053.0,Western,PSEI,-122.614,47.5032,Washington,US,p53035
2010089,35053.0,Western,PSEI,-122.614,47.5032,Washington,US,p53035
2010090,35054.0,Western,BPAT,-122.622,47.4023,Washington,US,p53053
2010091,35055.0,Western,BPAT,-122.686,45.8363,Washington,US,p53011
2010092,35056.0,Western,BPAT,-122.652,45.7159,Washington,US,p53011
2010093,35057.0,Western,PGE,-122.775,45.6572,Oregon,US,p41051
2010094,35058.0,Western,BPAT,-122.67,47.3081,Washington,US,p53053
2010095,35058.0,Western,BPAT,-122.67,47.3081,Washington,US,p53053
2010096,35058.0,Western,BPAT,-122.67,47.3081,Washington,US,p53053
2010097,35059.0,Western,BPAT,-122.568,46.0356,Washington,US,p53015
2010098,35060.0,Western,PSEI,-122.665,47.1074,Washington,US,p53053
2010099,35060.0,Western,PSEI,-122.665,47.1074,Washington,US,p53053
2010100,35061.0,Western,PGE,-122.658,45.5909,Oregon,US,p41051
2010101,35061.0,Western,PGE,-122.658,45.5909,Oregon,US,p41051
2010102,35061.0,Western,PGE,-122.658,45.5909,Oregon,US,p41051
2010103,35062.0,Western,BPAT,-122.615,45.6377,Washington,US,p53011
2010104,35062.0,Western,BPAT,-122.615,45.6377,Washington,US,p53011
2010105,35062.0,Western,BPAT,-122.615,45.6377,Washington,US,p53011
2010106,35063.0,Western,BPAT,-122.692,48.5919,Washington,US,p53055
2010107,35064.0,Western,PSEI,-122.581,48.1206,Washington,US,p53029
2010108,35064.0,Western,PSEI,-122.581,48.1206,Washington,US,p53029
2010109,35064.0,Western,PSEI,-122.581,48.1206,Washington,US,p53029
2010110,35065.0,Western,BPAT,-122.651,46.6517,Washington,US,p53041
2010111,35065.0,Western,BPAT,-122.651,46.6517,Washington,US,p53041
2010112,35066.0,Western,PSEI,-122.649,46.8176,Washington,US,p53067
2010113,35067.0,Western,PSEI,-122.703,47.7207,Washington,US,p53035
2010114,35067.0,Western,PSEI,-122.703,47.7207,Washington,US,p53035
2010115,35068.0,Western,PSEI,-122.642,47.5662,Washington,US,p53035
2010116,35069.0,Western,PSEI,-122.63,48.2781,Washington,US,p53029
2010117,35070.0,Western,PSEI,-122.535,48.2395,Washington,US,p53029
2010118,35070.0,Western,PSEI,-122.535,48.2395,Washington,US,p53029
2010119,35070.0,Western,PSEI,-122.535,48.2395,Washington,US,p53029
2010120,35070.0,Western,PSEI,-122.535,48.2395,Washington,US,p53029
2010121,35071.0,Western,PSEI,-122.684,47.7984,Washington,US,p53035
2010122,35071.0,Western,PSEI,-122.684,47.7984,Washington,US,p53035
2010123,35072.0,Western,PSEI,-122.658,47.7539,Washington,US,p53035
2010124,35072.0,Western,PSEI,-122.658,47.7539,Washington,US,p53035
2010125,35072.0,Western,PSEI,-122.658,47.7539,Washington,US,p53035
2010126,35072.0,Western,PSEI,-122.658,47.7539,Washington,US,p53035
2010127,35073.0,Western,PSEI,-122.622,47.5231,Washington,US,p53035
2010128,35073.0,Western,PSEI,-122.622,47.5231,Washington,US,p53035
2010129,35074.0,Western,PGE,-122.627,45.5753,Oregon,US,p41051
2010130,35075.0,Western,BPAT,-122.554,45.6695,Washington,US,p53011
2010131,35076.0,Western,BPAT,-122.606,45.638,Washington,US,p53011
2010132,35076.0,Western,BPAT,-122.606,45.638,Washington,US,p53011
2010133,35077.0,Western,BPAT,-122.719,47.2477,Washington,US,p53053
2010134,35077.0,Western,BPAT,-122.719,47.2477,Washington,US,p53053
2010135,35078.0,Western,PSEI,-122.67,48.8946,Washington,US,p53073
2010136,35078.0,Western,PSEI,-122.67,48.8946,Washington,US,p53073
2010137,35079.0,Western,BPAT,-122.666,45.8584,Washington,US,p53011
2010138,35080.0,Western,PSEI,-122.645,47.4467,Washington,US,p53035
2010139,35081.0,Western,PSEI,-122.565,47.1496,Washington,US,p53053
2010140,35082.0,Western,PSEI,-122.668,47.5868,Washington,US,p53035
2010141,35082.0,Western,PSEI,-122.668,47.5868,Washington,US,p53035
2010142,35083.0,Western,PSEI,-122.62,47.6145,Washington,US,p53035
2010143,35083.0,Western,PSEI,-122.62,47.6145,Washington,US,p53035
2010144,35083.0,Western,PSEI,-122.62,47.6145,Washington,US,p53035
2010145,35084.0,Western,BPAT,-122.552,45.7462,Washington,US,p53011
2010146,35085.0,Western,BPAT,-122.584,45.6971,Washington,US,p53011
2010147,35085.0,Western,BPAT,-122.584,45.6971,Washington,US,p53011
2010148,35086.0,Western,BPAT,-122.64,45.6566,Washington,US,p53011
2010149,35087.0,Western,PSEI,-122.665,47.498,Washington,US,p53035
2010150,35087.0,Western,PSEI,-122.665,47.498,Washington,US,p53035
2010151,35087.0,Western,PSEI,-122.665,47.498,Washington,US,p53035
2010152,35087.0,Western,PSEI,-122.665,47.498,Washington,US,p53035
2010153,35088.0,Western,PSEI,-122.596,47.1162,Washington,US,p53053
2010154,35089.0,Western,PSEI,-122.575,47.1492,Washington,US,p53053
2010155,35090.0,Western,PSEI,-122.607,47.0621,Washington,US,p53053
2010156,35090.0,Western,PSEI,-122.607,47.0621,Washington,US,p53053
2010157,35091.0,Western,BPAT,-122.53,47.2402,Washington,US,p53053
2010158,35091.0,Western,BPAT,-122.53,47.2402,Washington,US,p53053
2010159,35092.0,Western,BPAT,-122.56,47.2904,Washington,US,p53053
2010160,35093.0,Western,BPAT,-122.493,47.6283,Washington,US,p53033
2010161,35094.0,Western,PSEI,-122.537,47.8029,Washington,US,p53035
2010162,35094.0,Western,PSEI,-122.537,47.8029,Washington,US,p53035
2010163,35094.0,Western,PSEI,-122.537,47.8029,Washington,US,p53035
2010164,35095.0,Western,PSEI,-122.584,47.0922,Washington,US,p53053
2010165,35096.0,Western,PSEI,-122.464,47.3789,Washington,US,p53033
2010166,35096.0,Western,PSEI,-122.464,47.3789,Washington,US,p53033
2010167,35097.0,Western,PGE,-122.604,45.5753,Oregon,US,p41051
2010168,35098.0,Western,BPAT,-122.54,45.6205,Oregon,US,p53011
2010169,35099.0,Western,PSEI,-122.486,47.0746,Washington,US,p53053
2010170,35099.0,Western,PSEI,-122.486,47.0746,Washington,US,p53053
2010171,35100.0,Western,BPAT,-122.419,47.2812,Washington,US,p53053
2010172,35101.0,Western,BPAT,-122.424,45.763,Washington,US,p53011
2010173,35101.0,Western,BPAT,-122.424,45.763,Washington,US,p53011
2010174,35101.0,Western,BPAT,-122.424,45.763,Washington,US,p53011
2010175,35102.0,Western,BPAT,-122.529,45.8824,Washington,US,p53011
2010176,35102.0,Western,BPAT,-122.529,45.8824,Washington,US,p53011
2010177,35103.0,Western,PGE,-122.567,45.575,Oregon,US,p41051
2010178,35104.0,Western,BPAT,-122.574,45.6766,Washington,US,p53011
2010179,35105.0,Western,PSEI,-122.544,48.8277,Washington,US,p53073
2010180,35106.0,Western,PSEI,-122.609,48.7084,Washington,US,p53073
2010181,35106.0,Western,PSEI,-122.609,48.7084,Washington,US,p53073
2010182,35106.0,Western,PSEI,-122.609,48.7084,Washington,US,p53073
2010183,35107.0,Western,BPAT,-122.413,47.241,Washington,US,p53053
2010184,35108.0,Western,BPAT,-122.577,47.2147,Washington,US,p53053
2010185,35108.0,Western,BPAT,-122.577,47.2147,Washington,US,p53053
2010186,35109.0,Western,PSEI,-122.608,48.209,Washington,US,p53029
2010187,35109.0,Western,PSEI,-122.608,48.209,Washington,US,p53029
2010188,35110.0,Western,PSEI,-122.451,46.8447,Washington,US,p53067
2010189,35110.0,Western,PSEI,-122.451,46.8447,Washington,US,p53067
2010190,35111.0,Western,BPAT,-122.514,45.7632,Washington,US,p53011
2010191,35111.0,Western,BPAT,-122.514,45.7632,Washington,US,p53011
2010192,35112.0,Western,BPAT,-122.566,45.7218,Washington,US,p53011
2010193,35112.0,Western,BPAT,-122.566,45.7218,Washington,US,p53011
2010194,35112.0,Western,BPAT,-122.566,45.7218,Washington,US,p53011
2010195,35112.0,Western,BPAT,-122.566,45.7218,Washington,US,p53011
2010196,35113.0,Western,PSEI,-122.557,47.1245,Washington,US,p53053
2010197,35113.0,Western,PSEI,-122.557,47.1245,Washington,US,p53053
2010198,35113.0,Western,PSEI,-122.557,47.1245,Washington,US,p53053
2010199,35114.0,Western,PSEI,-122.48,47.4255,Washington,US,p53033
2010200,35115.0,Western,BPAT,-122.441,47.2126,Washington,US,p53053
2010201,35116.0,Western,PSEI,-122.462,48.982,Washington,US,p53073
2010202,35117.0,Western,BPAT,-122.371,45.6699,Washington,US,p53011
2010203,35118.0,Western,PSEI,-122.507,48.012,Washington,US,p53029
2010204,35118.0,Western,PSEI,-122.507,48.012,Washington,US,p53029
2010205,35119.0,Western,PSEI,-122.354,47.2028,Washington,US,p53053
2010206,35119.0,Western,PSEI,-122.354,47.2028,Washington,US,p53053
2010207,35120.0,Western,BPAT,-122.491,47.2014,Washington,US,p53053
2010208,35121.0,Western,BPAT,-122.518,47.3067,Washington,US,p53053
2010209,35122.0,Western,BPAT,-122.422,47.1904,Washington,US,p53053
2010210,35123.0,Western,PSEI,-122.452,48.8083,Washington,US,p53073
2010211,35124.0,Western,PSEI,-122.436,48.759,Washington,US,p53073
2010212,35124.0,Western,PSEI,-122.436,48.759,Washington,US,p53073
2010213,35125.0,Western,BPAT,-122.371,46.4722,Washington,US,p53041
2010214,35125.0,Western,BPAT,-122.371,46.4722,Washington,US,p53041
2010215,35126.0,Western,PSEI,-122.474,48.6497,Washington,US,p53073
2010216,35127.0,Western,PSEI,-122.479,48.7025,Washington,US,p53073
2010217,35127.0,Western,PSEI,-122.479,48.7025,Washington,US,p53073
2010218,35128.0,Western,PSEI,-122.546,47.9174,Washington,US,p53029
2010219,35129.0,Western,BPAT,-122.495,47.2202,Washington,US,p53053
2010220,35129.0,Western,BPAT,-122.495,47.2202,Washington,US,p53053
2010221,35130.0,Western,BPAT,-122.331,47.1365,Washington,US,p53053
2010222,35131.0,Western,PSEI,-122.354,48.6364,Washington,US,p53057
2010223,35131.0,Western,PSEI,-122.354,48.6364,Washington,US,p53057
2010224,35132.0,Western,BPAT,-122.429,47.1045,Washington,US,p53053
2010225,35132.0,Western,BPAT,-122.429,47.1045,Washington,US,p53053
2010226,35133.0,Western,PSEI,-122.338,47.1903,Washington,US,p53053
2010227,35134.0,Western,BPAT,-122.504,47.6876,Washington,US,p53033
2010228,35135.0,Western,BPAT,-122.326,47.6146,Washington,US,p53033
2010229,35136.0,Western,BPAT,-122.327,47.5031,Washington,US,p53033
2010230,35137.0,Western,BPAT,-122.398,47.104,Washington,US,p53053
2010231,35138.0,Western,BPAT,-122.413,47.0282,Washington,US,p53053
2010232,35139.0,Western,PSEI,-122.311,47.3025,Washington,US,p53033
2010233,35140.0,Western,BPAT,-122.309,47.6998,Washington,US,p53033
2010234,35140.0,Western,BPAT,-122.309,47.6998,Washington,US,p53033
2010235,35141.0,Western,PSEI,-122.491,47.7826,Washington,US,p53035
2010236,35141.0,Western,PSEI,-122.491,47.7826,Washington,US,p53035
2010237,35142.0,Western,BPAT,-122.329,45.6124,Washington,US,p53011
2010238,35143.0,Western,BPAT,-122.344,45.644,Washington,US,p53011
2010239,35144.0,Western,BPAT,-122.32,47.5435,Washington,US,p53033
2010240,35144.0,Western,BPAT,-122.32,47.5435,Washington,US,p53033
2010241,35145.0,Western,BPAT,-122.282,47.6768,Washington,US,p53033
2010242,35146.0,Western,BPAT,-122.385,47.6954,Washington,US,p53033
2010243,35146.0,Western,BPAT,-122.385,47.6954,Washington,US,p53033
2010244,35147.0,Western,PSEI,-122.401,48.3831,Washington,US,p53057
2010245,35148.0,Western,PSEI,-122.401,48.3917,Washington,US,p53057
2010246,35148.0,Western,PSEI,-122.401,48.3917,Washington,US,p53057
2010247,35149.0,Western,PSEI,-122.308,47.2016,Washington,US,p53053
2010248,35150.0,Western,PSEI,-122.514,47.8798,Washington,US,p53035
2010249,35151.0,Western,BPAT,-122.337,47.7031,Washington,US,p53033
2010250,35152.0,Western,BPAT,-122.415,47.2992,Washington,US,p53053
2010251,35153.0,Western,BPAT,-122.426,47.2213,Washington,US,p53053
2010252,35154.0,Western,PSEI,-122.328,47.4004,Washington,US,p53033
2010253,35154.0,Western,PSEI,-122.328,47.4004,Washington,US,p53033
2010254,35155.0,Western,PSEI,-122.341,47.4459,Washington,US,p53033
2010255,35155.0,Western,PSEI,-122.341,47.4459,Washington,US,p53033
2010256,35156.0,Western,BPAT,-122.375,47.2861,Washington,US,p53053
2010257,35156.0,Western,BPAT,-122.375,47.2861,Washington,US,p53053
2010258,35156.0,Western,BPAT,-122.375,47.2861,Washington,US,p53053
2010259,35157.0,Western,PSEI,-122.325,47.3627,Washington,US,p53033
2010260,35158.0,Western,PSEI,-122.272,47.6889,Washington,US,p53033
2010261,35159.0,Western,BPAT,-122.415,47.6404,Washington,US,p53033
2010262,35159.0,Western,BPAT,-122.415,47.6404,Washington,US,p53033
2010263,35160.0,Western,PSEI,-122.416,48.4514,Washington,US,p53057
2010264,35161.0,Western,BPAT,-122.337,47.6603,Washington,US,p53033
2010265,35161.0,Western,BPAT,-122.337,47.6603,Washington,US,p53033
2010266,35161.0,Western,BPAT,-122.337,47.6603,Washington,US,p53033
2010267,35162.0,Western,BPAT,-122.311,45.7986,Washington,US,p53011
2010268,35163.0,Western,PSEI,-122.313,47.8251,Washington,US,p53061
2010269,35163.0,Western,PSEI,-122.313,47.8251,Washington,US,p53061
2010270,35164.0,Western,BPAT,-122.376,47.72,Washington,US,p53033
2010271,35164.0,Western,BPAT,-122.376,47.72,Washington,US,p53033
2010272,35165.0,Western,BPAT,-122.399,47.6366,Washington,US,p53033
2010273,35166.0,Western,BPAT,-122.331,47.7292,Washington,US,p53033
2010274,35167.0,Western,PSEI,-122.241,47.665,Washington,US,p53033
2010275,35168.0,Western,PSEI,-122.246,47.8822,Washington,US,p53061
2010276,35168.0,Western,PSEI,-122.246,47.8822,Washington,US,p53061
2010277,35169.0,Western,PSEI,-122.313,47.9219,Washington,US,p53061
2010278,35170.0,Western,PSEI,-122.314,48.906,Washington,US,p53073
2010279,35170.0,Western,PSEI,-122.314,48.906,Washington,US,p53073
2010280,35170.0,Western,PSEI,-122.314,48.906,Washington,US,p53073
2010281,35170.0,Western,PSEI,-122.314,48.906,Washington,US,p53073
2010282,35170.0,Western,PSEI,-122.314,48.906,Washington,US,p53073
2010283,35171.0,Western,BPAT,-122.32,47.5328,Washington,US,p53033
2010284,35171.0,Western,BPAT,-122.32,47.5328,Washington,US,p53033
2010285,35172.0,Western,PSEI,-122.229,47.4956,Washington,US,p53033
2010286,35173.0,Western,PSEI,-122.344,47.1462,Washington,US,p53053
2010287,35174.0,Western,PSEI,-122.268,47.2703,Washington,US,p53033
2010288,35174.0,Western,PSEI,-122.268,47.2703,Washington,US,p53033
2010289,35175.0,Western,PSEI,-122.224,47.0533,Washington,US,p53053
2010290,35176.0,Western,BPAT,-122.399,47.1606,Washington,US,p53053
2010291,35177.0,Western,BPAT,-122.347,47.713,Washington,US,p53033
2010292,35177.0,Western,BPAT,-122.347,47.713,Washington,US,p53033
2010293,35178.0,Western,PSEI,-122.271,47.3951,Washington,US,p53033
2010294,35179.0,Western,BPAT,-122.343,47.2423,Washington,US,p53053
2010295,35179.0,Western,BPAT,-122.343,47.2423,Washington,US,p53053
2010296,35180.0,Western,PSEI,-122.263,47.3349,Washington,US,p53033
2010297,35180.0,Western,PSEI,-122.263,47.3349,Washington,US,p53033
2010298,35181.0,Western,PSEI,-122.341,47.313,Washington,US,p53033
2010299,35181.0,Western,PSEI,-122.341,47.313,Washington,US,p53033
2010300,35182.0,Western,BPAT,-122.317,48.2045,Washington,US,p53061
2010301,35182.0,Western,BPAT,-122.317,48.2045,Washington,US,p53061
2010302,35183.0,Western,PSEI,-122.236,47.8313,Washington,US,p53061
2010303,35183.0,Western,PSEI,-122.236,47.8313,Washington,US,p53061
2010304,35183.0,Western,PSEI,-122.236,47.8313,Washington,US,p53061
2010305,35183.0,Western,PSEI,-122.236,47.8313,Washington,US,p53061
2010306,35184.0,Western,BPAT,-122.296,47.5936,Washington,US,p53033
2010307,35185.0,Western,PSEI,-122.223,47.8987,Washington,US,p53061
2010308,35185.0,Western,PSEI,-122.223,47.8987,Washington,US,p53061
2010309,35186.0,Western,BPAT,-122.296,47.6909,Washington,US,p53033
2010310,35187.0,Western,BPAT,-122.316,47.7631,Washington,US,p53033
2010311,35188.0,Western,PSEI,-122.349,47.421,Washington,US,p53033
2010312,35188.0,Western,PSEI,-122.349,47.421,Washington,US,p53033
2010313,35188.0,Western,PSEI,-122.349,47.421,Washington,US,p53033
2010314,35189.0,Western,PSEI,-122.298,47.4298,Washington,US,p53033
2010315,35190.0,Western,BPAT,-122.307,47.7113,Washington,US,p53033
2010316,35191.0,Western,BPAT,-122.263,47.6398,Washington,US,p53033
2010317,35191.0,Western,BPAT,-122.263,47.6398,Washington,US,p53033
2010318,35192.0,Western,PSEI,-122.268,47.7043,Washington,US,p53033
2010319,35193.0,Western,BPAT,-122.339,47.6408,Washington,US,p53033
2010320,35193.0,Western,BPAT,-122.339,47.6408,Washington,US,p53033
2010321,35194.0,Western,BPAT,-122.366,47.6708,Washington,US,p53033
2010322,35195.0,Western,BPAT,-122.286,47.6468,Washington,US,p53033
2010323,35196.0,Western,BPAT,-122.337,47.6732,Washington,US,p53033
2010324,35197.0,Western,BPAT,-122.377,47.9233,Washington,US,p53061
2010325,35197.0,Western,BPAT,-122.377,47.9233,Washington,US,p53061
2010326,35198.0,Western,PSEI,-122.321,47.815,Washington,US,p53061
2010327,35199.0,Western,PSEI,-122.219,47.653,Washington,US,p53033
2010328,35199.0,Western,PSEI,-122.219,47.653,Washington,US,p53033
2010329,35199.0,Western,PSEI,-122.219,47.653,Washington,US,p53033
2010330,35200.0,Western,BPAT,-122.263,47.6345,Washington,US,p53033
2010331,35200.0,Western,BPAT,-122.263,47.6345,Washington,US,p53033
2010332,35200.0,Western,BPAT,-122.263,47.6345,Washington,US,p53033
2010333,35201.0,Western,BPAT,-122.322,47.7292,Washington,US,p53033
2010334,35201.0,Western,BPAT,-122.322,47.7292,Washington,US,p53033
2010335,35201.0,Western,BPAT,-122.322,47.7292,Washington,US,p53033
2010336,35201.0,Western,BPAT,-122.322,47.7292,Washington,US,p53033
2010337,35201.0,Western,BPAT,-122.322,47.7292,Washington,US,p53033
2010338,35202.0,Western,PSEI,-122.198,47.625,Washington,US,p53033
2010339,35203.0,Western,PSEI,-122.367,47.8153,Washington,US,p53061
2010340,35204.0,Western,BPAT,-122.336,47.8516,Washington,US,p53061
2010341,35204.0,Western,BPAT,-122.336,47.8516,Washington,US,p53061
2010342,35204.0,Western,BPAT,-122.336,47.8516,Washington,US,p53061
2010343,35205.0,Western,BPAT,-122.184,47.0349,Washington,US,p53053
2010344,35205.0,Western,BPAT,-122.184,47.0349,Washington,US,p53053
2010345,35205.0,Western,BPAT,-122.184,47.0349,Washington,US,p53053
2010346,35206.0,Western,PSEI,-122.244,47.5253,Washington,US,p53033
2010347,35206.0,Western,PSEI,-122.244,47.5253,Washington,US,p53033
2010348,35206.0,Western,PSEI,-122.244,47.5253,Washington,US,p53033
2010349,35206.0,Western,PSEI,-122.244,47.5253,Washington,US,p53033
2010350,35206.0,Western,PSEI,-122.244,47.5253,Washington,US,p53033
2010351,35206.0,Western,PSEI,-122.244,47.5253,Washington,US,p53033
2010352,35206.0,Western,PSEI,-122.244,47.5253,Washington,US,p53033
2010353,35206.0,Western,PSEI,-122.244,47.5253,Washington,US,p53033
2010354,35207.0,Western,PSEI,-122.208,47.4522,Washington,US,p53033
2010355,35208.0,Western,PSEI,-122.206,47.507,Washington,US,p53033
2010356,35209.0,Western,PSEI,-122.23,47.8401,Washington,US,p53061
2010357,35210.0,Western,PSEI,-122.262,47.8719,Washington,US,p53061
2010358,35210.0,Western,PSEI,-122.262,47.8719,Washington,US,p53061
2010359,35210.0,Western,PSEI,-122.262,47.8719,Washington,US,p53061
2010360,35210.0,Western,PSEI,-122.262,47.8719,Washington,US,p53061
2010361,35211.0,Western,BPAT,-122.347,47.1506,Washington,US,p53053
2010362,35212.0,Western,PSEI,-122.276,47.368,Washington,US,p53033
2010363,35213.0,Western,BPAT,-122.333,47.2525,Washington,US,p53053
2010364,35213.0,Western,BPAT,-122.333,47.2525,Washington,US,p53053
2010365,35214.0,Western,BPAT,-122.356,47.1096,Washington,US,p53053
2010366,35214.0,Western,BPAT,-122.356,47.1096,Washington,US,p53053
2010367,35215.0,Western,PSEI,-122.322,47.2232,Washington,US,p53053
2010368,35216.0,Western,PSEI,-122.275,47.8443,Washington,US,p53061
2010369,35217.0,Western,PSEI,-122.175,47.9909,Washington,US,p53061
2010370,35217.0,Western,PSEI,-122.175,47.9909,Washington,US,p53061
2010371,35218.0,Western,PSEI,-122.284,47.3465,Washington,US,p53033
2010372,35218.0,Western,PSEI,-122.284,47.3465,Washington,US,p53033
2010373,35218.0,Western,PSEI,-122.284,47.3465,Washington,US,p53033
2010374,35219.0,Western,BPAT,-122.334,47.4797,Washington,US,p53033
2010375,35220.0,Western,BPAT,-122.29,47.7533,Washington,US,p53033
2010376,35220.0,Western,BPAT,-122.29,47.7533,Washington,US,p53033
2010377,35221.0,Western,PSEI,-122.154,47.5762,Washington,US,p53033
2010378,35222.0,Western,BPAT,-122.212,45.6682,Washington,US,p53059
