Line,bus0,bus1,r,x,b,s_nom,v_nom,interconnect,type,carrier,underwater_fraction,length,g,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,latitude1,longitude1,latitude2,longitude2,wkt_geom
88219,2010007,2013019,1.11369312,7.3631721599999995,1.0827557235874816e-06,218.55,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,14.507307888343801,0.0,0.0,False,0.0,inf,1.0,1329.9937189336388,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3165,-124.061,46.2056,-123.962,"LINESTRING (-124.061 46.3165, -123.962 46.2056)"
88220,2010007,2013028,3.61721736,19.778146200000002,9.866624658685151e-06,231.63,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,83.91532253108626,0.0,0.0,False,0.0,inf,1.0,7693.146981343661,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3165,-124.061,45.5991,-123.728,"LINESTRING (-124.061 46.3165, -123.728 45.5991)"
88221,2010008,2010009,0.04494384,0.19920024000000003,0.0,0.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4983,-123.983,46.4983,-123.983,"LINESTRING (-123.983 46.4983, -123.983 46.4983)"
88222,2010016,2010008,2.48200452,15.95868156,1.580550304557866e-06,229.92,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,33.182758253160436,0.0,0.0,False,0.0,inf,1.0,3042.112319754116,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.656,-123.615,46.4983,-123.983,"LINESTRING (-123.615 46.656, -123.983 46.4983)"
88223,2013019,2010008,2.580462,12.419354159999997,1.6803192606595253e-06,184.78,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,32.62314229842751,0.0,0.0,False,0.0,inf,1.0,2990.808128064088,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2056,-123.962,46.4983,-123.983,"LINESTRING (-123.962 46.2056, -123.983 46.4983)"
88224,2010014,2010010,1.48181364,5.87336004,1.1767485822306237e-06,197.37,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,12.289408839528708,0.0,0.0,False,0.0,inf,1.0,1126.662278885893,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1889,-123.686,47.1743,-123.847,"LINESTRING (-123.686 47.1889, -123.847 47.1743)"
88225,2010011,2010020,4.34526948,21.1445532,1.290695232094098e-06,214.06,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,32.07307948661085,0.0,0.0,False,0.0,inf,1.0,2940.379744633766,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0025,-123.762,47.988,-123.332,"LINESTRING (-123.762 48.0025, -123.332 47.988)"
88227,2010012,2010023,1.6615890000000002,19.71649125,2.6424700693131695e-06,1105.1,345.0,Western,Al/St 240/40 4-bundle 380.0,AC,0.0,44.85299969645125,0.0,0.0,False,0.0,inf,1.0,4112.010879671409,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.165,-123.664,47.1479,-123.072,"LINESTRING (-123.664 47.165, -123.072 47.1479)"
88228,2010012,2010987,1.05099075,11.18001825,1.4348246166771685e-06,1237.08,345.0,Western,Al/St 240/40 4-bundle 380.0,AC,0.0,25.879130744005025,0.0,0.0,False,0.0,inf,1.0,2372.53400878352,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.165,-123.664,46.9692,-123.48,"LINESTRING (-123.664 47.165, -123.48 46.9692)"
88229,2010014,2010013,0.39859091999999996,1.6092179999999998,2.1371560596513338e-07,236.46,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,3.1384163368343123,0.0,0.0,False,0.0,inf,1.0,287.7221637201277,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1889,-123.686,47.165,-123.664,"LINESTRING (-123.686 47.1889, -123.664 47.165)"
88230,2010013,2010076,2.92649148,19.31118732,6.0444234404536865e-06,239.71,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,67.99429931100147,0.0,0.0,False,0.0,inf,1.0,6233.547375084337,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.165,-123.664,47.3039,-122.788,"LINESTRING (-123.664 47.165, -122.788 47.3039)"
88231,2010014,2010015,0.05141880000000001,0.20738916,0.0,0.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1889,-123.686,47.1889,-123.686,"LINESTRING (-123.686 47.1889, -123.686 47.1889)"
88232,2010016,2010017,0.04761,0.21938687999999998,0.0,0.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.656,-123.615,46.656,-123.615,"LINESTRING (-123.615 46.656, -123.615 46.656)"
88233,2010016,2013463,1.70367624,8.92344708,1.0441608905692082e-05,245.26,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,63.059645659125835,0.0,0.0,False,0.0,inf,1.0,5781.150664914509,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.656,-123.615,46.1789,-123.172,"LINESTRING (-123.615 46.656, -123.172 46.1789)"
88234,2010018,2010032,0.42677604,2.780424,1.7680109220751942e-06,250.62,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,11.460378266525934,0.0,0.0,False,0.0,inf,1.0,1050.6588285294313,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0719,-123.294,47.0673,-123.143,"LINESTRING (-123.294 47.0719, -123.143 47.0673)"
88235,2010018,2010988,1.19672496,7.30546884,1.0612266330602815e-06,263.59,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,18.164611570554392,0.0,0.0,False,0.0,inf,1.0,1665.2861772595004,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0719,-123.294,46.9692,-123.48,"LINESTRING (-123.294 47.0719, -123.48 46.9692)"
88237,2010730,2010019,2.5495154999999996,31.97368575,4.889308968704053e-06,1150.4,345.0,Western,Al/St 240/40 4-bundle 380.0,AC,0.0,70.01468822936991,0.0,0.0,False,0.0,inf,1.0,6418.771580148059,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.3698,-123.16,47.988,-123.332,"LINESTRING (-123.16 47.3698, -123.332 47.988)"
88238,2010020,2010029,1.08703152,7.5616106400000005,1.1756983826927117e-06,233.76,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,18.692404696012666,0.0,0.0,False,0.0,inf,1.0,1713.672931518701,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.988,-123.332,48.0024,-123.082,"LINESTRING (-123.332 47.988, -123.082 48.0024)"
88239,2010021,2013074,1.23100416,6.68691972,6.561646712875447e-06,251.36,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,40.55360190790959,0.0,0.0,False,0.0,inf,1.0,3717.8528389123812,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1904,-123.332,45.8409,-123.184,"LINESTRING (-123.332 46.1904, -123.184 45.8409)"
88240,2010021,2013512,0.47514779999999995,3.42792,5.970384373030876e-07,201.56,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,7.060158255301703,0.0,0.0,False,0.0,inf,1.0,647.2576584504218,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1904,-123.332,46.154,-123.407,"LINESTRING (-123.332 46.1904, -123.407 46.154)"
88241,2013690,2010021,0.9889549199999998,7.10207892,6.947069943289225e-07,247.31,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,12.39755818737721,0.0,0.0,False,0.0,inf,1.0,1136.5771407232742,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1789,-123.172,46.1904,-123.332,"LINESTRING (-123.172 46.1789, -123.332 46.1904)"
88242,2010022,2010024,0.30146652,2.0649409199999997,3.0403276622558285e-07,204.48,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,4.399846332626661,0.0,0.0,False,0.0,inf,1.0,403.36691215938066,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1504,-123.13,47.1479,-123.072,"LINESTRING (-123.13 47.1504, -123.072 47.1479)"
88243,2010022,2010030,1.34888652,6.96267684,6.411468178954001e-07,210.69,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,14.205175923755192,0.0,0.0,False,0.0,inf,1.0,1302.2950157500666,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1504,-123.13,47.0228,-123.132,"LINESTRING (-123.13 47.1504, -123.132 47.0228)"
88245,2010730,2010023,0.69867675,8.784044999999999,1.8392774627179164e-06,1205.73,345.0,Western,Al/St 240/40 4-bundle 380.0,AC,0.0,25.580871031634555,0.0,0.0,False,0.0,inf,1.0,2345.190304002677,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.3698,-123.16,47.1479,-123.072,"LINESTRING (-123.16 47.3698, -123.072 47.1479)"
88246,2010987,2010023,1.290231,15.093560250000001,1.989918084436043e-06,1271.34,345.0,Western,Al/St 240/40 4-bundle 380.0,AC,0.0,36.78424236691725,0.0,0.0,False,0.0,inf,1.0,3372.287379593056,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9692,-123.48,47.1479,-123.072,"LINESTRING (-123.48 46.9692, -123.072 47.1479)"
88247,2010024,2010039,0.61873956,2.61416988,2.1686620457887e-07,261.21,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,3.895147248569201,0.0,0.0,False,0.0,inf,1.0,357.0973618807029,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1479,-123.072,47.1433,-123.021,"LINESTRING (-123.072 47.1479, -123.021 47.1433)"
88248,2010025,2010858,1.19939112,7.44296652,1.6461877756773788e-06,188.02,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,14.439795532822021,0.0,0.0,False,0.0,inf,1.0,1323.8043549602908,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7918,-123.042,46.7559,-122.86,"LINESTRING (-123.042 46.7918, -122.86 46.7559)"
88249,2010025,2010929,2.309085,12.973534560000001,9.215500945179584e-07,219.05,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,21.263896921757635,0.0,0.0,False,0.0,inf,1.0,1949.4209100444355,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7918,-123.042,46.6225,-122.913,"LINESTRING (-123.042 46.7918, -122.913 46.6225)"
88250,2010051,2010026,0.8623123199999999,4.9171607999999996,5.896870405377022e-07,220.77,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,26.536155812645994,0.0,0.0,False,0.0,inf,1.0,2432.768424513853,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.65694,-122.78053,48.5372,-123.0922,"LINESTRING (-122.78053 48.65694, -123.0922 48.5372)"
88251,2010027,2010028,0.04741956,0.19539144,0.0,0.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0874,-123.158,48.0874,-123.158,"LINESTRING (-123.158 48.0874, -123.158 48.0874)"
88252,2010027,2010029,1.19748672,6.9712466399999995,5.818105440033606e-07,209.69,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,11.023787768931422,0.0,0.0,False,0.0,inf,1.0,1010.6333031862104,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0874,-123.158,48.0024,-123.082,"LINESTRING (-123.158 48.0874, -123.082 48.0024)"
88253,2010054,2010027,1.1251195200000002,6.764428800000001,1.952320940978786e-06,199.0,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,21.470317037173213,0.0,0.0,False,0.0,inf,1.0,1968.3449901754473,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0143,-122.891,48.0874,-123.158,"LINESTRING (-122.891 48.0143, -123.158 48.0874)"
88254,2010030,2010031,0.04646736,0.20015244000000001,0.0,0.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0228,-123.132,47.0228,-123.132,"LINESTRING (-123.132 47.0228, -123.132 47.0228)"
88255,2010030,2010988,2.13902208,10.552280399999999,2.040012602394455e-06,237.68,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,27.08734888907142,0.0,0.0,False,0.0,inf,1.0,2483.300427777845,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0228,-123.132,46.9692,-123.48,"LINESTRING (-123.132 47.0228, -123.48 46.9692)"
88256,2010032,2010040,1.12969008,6.32565504,2.126654064272212e-06,226.1,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,20.31711093098604,0.0,0.0,False,0.0,inf,1.0,1862.6219373754727,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0673,-123.143,47.1717,-122.923,"LINESTRING (-123.143 47.0673, -122.923 47.1717)"
88257,2010036,2010033,0.27385272,1.195011,1.853602184415039e-07,216.72,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,2.7117120322817687,0.0,0.0,False,0.0,inf,1.0,248.60297983951185,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1467,-122.989,46.1277,-123.011,"LINESTRING (-122.989 46.1467, -123.011 46.1277)"
88258,2010033,2010045,2.08550844,9.052184519999999,1.7995169082125604e-06,216.4,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,28.236681131203913,0.0,0.0,False,0.0,inf,1.0,2588.668334405947,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1277,-123.011,46.3394,-122.809,"LINESTRING (-123.011 46.1277, -122.809 46.3394)"
88259,2010033,2011071,0.27080568000000005,1.4088751200000003,1.4860323461457677e-07,237.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,2.290454662209701,0.0,0.0,False,0.0,inf,1.0,209.98315729472984,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1277,-123.011,46.1388,-122.986,"LINESTRING (-123.011 46.1277, -122.986 46.1388)"
88260,2010033,2013147,1.5061899599999997,10.07275248,3.0650073513967654e-06,246.79,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,36.22464479843785,0.0,0.0,False,0.0,inf,1.0,3320.9848735087858,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1277,-123.011,45.8141,-122.886,"LINESTRING (-123.011 46.1277, -122.886 45.8141)"
88261,2010034,2010035,0.038278440000000004,0.19462967999999997,0.0,0.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1467,-122.989,46.1467,-122.989,"LINESTRING (-122.989 46.1467, -122.989 46.1467)"
88262,2010034,2010036,0.04722912,0.22567140000000002,0.0,0.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1467,-122.989,46.1467,-122.989,"LINESTRING (-122.989 46.1467, -122.989 46.1467)"
88263,2011071,2010036,0.09522,0.47533823999999997,1.2234824616677168e-07,254.33,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.9093551828759622,0.0,0.0,False,0.0,inf,1.0,83.36740977811102,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1388,-122.986,46.1467,-122.989,"LINESTRING (-122.986 46.1388, -122.989 46.1467)"
88264,2010037,2010041,0.6604459200000001,3.6170269200000003,4.701743331232934e-06,230.13,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,27.346925992980996,0.0,0.0,False,0.0,inf,1.0,2507.097807721515,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66,-122.963,46.4187,-122.896,"LINESTRING (-122.963 46.66, -122.896 46.4187)"
88265,2010037,2010053,1.15349508,5.56618032,1.1280193236714977e-05,255.03,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,46.908900810301596,0.0,0.0,False,0.0,inf,1.0,4300.490754036425,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66,-122.963,47.0745,-122.852,"LINESTRING (-122.963 46.66, -122.852 47.0745)"
88266,2010929,2010037,0.83660292,3.34907784,3.5549254358328084e-07,255.57,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,5.6594504008248885,0.0,0.0,False,0.0,inf,1.0,518.8442641216237,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6225,-122.913,46.66,-122.963,"LINESTRING (-122.913 46.6225, -122.963 46.66)"
88267,2010038,2010039,0.05256144,0.20681784,0.0,0.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1433,-123.021,47.1433,-123.021,"LINESTRING (-123.021 47.1433, -123.021 47.1433)"
88268,2010040,2010039,0.5469436799999999,3.3936408,6.542743121193027e-07,243.11,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,8.063756441067767,0.0,0.0,False,0.0,inf,1.0,739.2650311259902,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1717,-122.923,47.1433,-123.021,"LINESTRING (-122.923 47.1717, -123.021 47.1433)"
88269,2010040,2010061,0.8628836400000001,4.08151008,1.523314429741651e-06,245.08,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,13.010082090404333,0.0,0.0,False,0.0,inf,1.0,1192.7318008430432,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1717,-122.923,47.1839,-122.752,"LINESTRING (-122.923 47.1717, -122.752 47.1839)"
88270,2010045,2010041,1.08798372,7.1053164,6.295946229783659e-07,236.56,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,11.071046305508775,0.0,0.0,False,0.0,inf,1.0,1014.9658476732807,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3394,-122.809,46.4187,-122.896,"LINESTRING (-122.809 46.3394, -122.896 46.4187)"
88271,2010041,2010757,0.71491176,3.74176512,4.431316950220542e-06,270.97,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,25.43470560358455,0.0,0.0,False,0.0,inf,1.0,2331.7902229726224,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4187,-122.896,46.5035,-122.588,"LINESTRING (-122.896 46.4187, -122.588 46.5035)"
88272,2010112,2010042,1.2751862399999998,6.34108068,1.2586641461877758e-06,241.87,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,16.701840739866306,0.0,0.0,False,0.0,inf,1.0,1531.183004429093,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8176,-122.649,46.7548,-122.848,"LINESTRING (-122.649 46.8176, -122.848 46.7548)"
88273,2010042,2010858,0.24147791999999998,0.728433,6.35370720436883e-08,265.85,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.9233553119740318,0.0,0.0,False,0.0,inf,1.0,84.6509066134993,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7548,-122.848,46.7559,-122.86,"LINESTRING (-122.848 46.7548, -122.86 46.7559)"
88274,2010043,2010044,0.0447534,0.22205303999999998,0.0,0.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4535,-122.926,47.4535,-122.926,"LINESTRING (-122.926 47.4535, -122.926 47.4535)"
88275,2010065,2010043,0.7983244800000001,5.14454616,6.878806973324932e-07,234.78,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,9.20871562412545,0.0,0.0,False,0.0,inf,1.0,844.2320266307609,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5296,-122.878,47.4535,-122.926,"LINESTRING (-122.878 47.5296, -122.926 47.4535)"
88276,2010043,2010731,1.5682733999999998,9.396500040000001,1.1672967863894139e-06,254.45,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,19.938816960515574,0.0,0.0,False,0.0,inf,1.0,1827.9408918976665,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4535,-122.926,47.3698,-123.16,"LINESTRING (-122.926 47.4535, -123.16 47.3698)"
